BAS_SCENARIO,BAS_GRP_CD,BAS_RSN_CD,BAS_CONTR_PYR,BAS_CHG_IND,BAS_NEW_GRP_CD,BAS_NEW_RSN_CD
0,CO,246,Y,MOD,PR,2
0,CO,247,Y,MOD,PR,2
0,CO,248,Y,MOD,PR,2
0,CO,249,Y,MOD,PR,2
0,CO,25,Y,MOD,PR,2
0,CO,250,Y,MOD,PR,2
0,CO,251,Y,MOD,PR,2
0,CO,252,Y,MOD,PR,2
0,CO,26,Y,MOD,PR,2
0,CO,27,Y,MOD,PR,2
0,CO,28,Y,MOD,PR,2
0,CO,29,Y,MOD,PR,2
0,CO,3,Y,MOD,PR,2
0,CO,30,Y,MOD,PR,2
0,CO,31,Y,MOD,PR,2
0,CO,32,Y,MOD,PR,2
0,CO,33,Y,MOD,PR,2
0,CO,34,Y,MOD,PR,2
0,CO,35,Y,MOD,PR,2
0,CO,36,Y,MOD,PR,2
0,CO,37,Y,MOD,PR,2
0,CO,38,Y,MOD,PR,2
0,CO,39,Y,MOD,PR,2
0,CO,4,Y,MOD,PR,2
0,CO,40,Y,MOD,PR,2
0,CO,41,Y,MOD,PR,2
0,CO,42,Y,MOD,PR,2
0,CO,43,Y,MOD,PR,2
0,CO,44,Y,MOD,PR,2
0,CO,45,Y,MOD,PR,2
0,CO,46,Y,MOD,PR,2
0,CO,47,Y,MOD,PR,2
0,CO,48,Y,MOD,PR,2
0,CO,49,Y,MOD,PR,2
0,CO,5,Y,MOD,PR,2
0,CO,50,Y,MOD,PR,2
0,CO,51,Y,MOD,PR,2
0,CO,52,Y,MOD,PR,2
0,CO,53,Y,MOD,PR,2
0,CO,54,Y,MOD,PR,2
0,CO,55,Y,MOD,PR,2
0,CO,56,Y,MOD,PR,2
0,CO,57,Y,MOD,PR,2
0,CO,58,Y,MOD,PR,2
0,CO,59,Y,MOD,PR,2
0,CO,6,Y,MOD,PR,2
0,CO,60,Y,MOD,PR,2
0,CO,61,Y,MOD,PR,2
0,CO,62,Y,MOD,PR,2
0,CO,63,Y,MOD,PR,2
0,CO,64,Y,MOD,PR,2
0,CO,65,Y,MOD,PR,2
0,CO,66,Y,MOD,PR,2
0,CO,67,Y,MOD,PR,2
0,CO,68,Y,MOD,PR,2
0,CO,69,Y,MOD,PR,2
0,CO,7,Y,MOD,PR,2
0,CO,70,Y,MOD,PR,2
0,CO,71,Y,MOD,PR,2
0,CO,72,Y,MOD,PR,2
0,CO,73,Y,MOD,PR,2
0,CO,74,Y,MOD,PR,2
0,CO,75,Y,MOD,PR,2
0,CO,76,Y,MOD,PR,2
0,CO,77,Y,MOD,PR,2
0,CO,78,Y,MOD,PR,2
0,CO,79,Y,MOD,PR,2
0,CO,8,Y,MOD,PR,2
0,CO,80,Y,MOD,PR,2
0,CO,81,Y,MOD,PR,2
0,CO,82,Y,MOD,PR,2
0,CO,83,Y,MOD,PR,2
0,CO,84,Y,MOD,PR,2
0,CO,85,Y,MOD,PR,2
0,CO,86,Y,MOD,PR,2
0,CO,87,Y,MOD,PR,2
0,CO,88,Y,MOD,PR,2
0,CO,89,Y,MOD,PR,2
0,CO,9,Y,MOD,PR,2
0,CO,90,Y,MOD,PR,2
0,CO,91,Y,MOD,PR,2
0,CO,92,Y,MOD,PR,2
0,CO,93,Y,MOD,PR,2
0,CO,94,Y,MOD,PR,2
0,CO,95,Y,MOD,PR,2
0,CO,96,Y,MOD,PR,2
0,CO,97,Y,MOD,PR,2
0,CO,98,Y,MOD,PR,2
0,CO,99,Y,MOD,PR,2
0,OA,1,Y,MOD,PR,2
0,OA,10,Y,MOD,PR,2
0,OA,100,Y,MOD,PR,2
0,OA,101,Y,MOD,PR,2
0,OA,102,Y,MOD,PR,2
0,OA,103,Y,MOD,PR,2
0,OA,104,Y,MOD,PR,2
0,OA,105,Y,MOD,PR,2
0,OA,106,Y,MOD,PR,2
0,OA,107,Y,MOD,PR,2
0,OA,108,Y,MOD,PR,2
0,OA,109,Y,MOD,PR,2
0,OA,11,Y,MOD,PR,2
0,OA,110,Y,MOD,PR,2
0,OA,111,Y,MOD,PR,2
0,OA,112,Y,MOD,PR,2
0,OA,113,Y,MOD,PR,2
0,OA,114,Y,MOD,PR,2
0,OA,115,Y,MOD,PR,2
0,OA,116,Y,MOD,PR,2
0,OA,117,Y,MOD,PR,2
0,OA,118,Y,MOD,PR,2
0,OA,119,Y,MOD,PR,2
0,OA,12,Y,MOD,PR,2
0,OA,120,Y,MOD,PR,2
0,OA,121,Y,MOD,PR,2
0,OA,122,Y,MOD,PR,2
0,OA,123,Y,MOD,PR,2
0,OA,124,Y,MOD,PR,2
0,OA,125,Y,MOD,PR,2
0,OA,126,Y,MOD,PR,2
0,OA,127,Y,MOD,PR,2
0,OA,128,Y,MOD,PR,2
0,OA,129,Y,MOD,PR,2
0,OA,13,Y,MOD,PR,2
0,OA,130,Y,MOD,PR,2
0,OA,131,Y,MOD,PR,2
0,OA,132,Y,MOD,PR,2
0,OA,133,Y,MOD,PR,2
0,OA,134,Y,MOD,PR,2
0,OA,135,Y,MOD,PR,2
0,OA,136,Y,MOD,PR,2
0,OA,137,Y,MOD,PR,2
0,OA,138,Y,MOD,PR,2
0,OA,139,Y,MOD,PR,2
0,OA,14,Y,MOD,PR,2
0,OA,140,Y,MOD,PR,2
0,OA,141,Y,MOD,PR,2
0,OA,142,Y,MOD,PR,2
